GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ecommerce-backend,com.ecommerce.entity,User.Role,0,15,0,0,0,2,0,1,0,1
ecommerce-backend,com.ecommerce.entity,OrderItem,57,30,0,0,18,9,13,3,13,3
ecommerce-backend,com.ecommerce.entity,Order,25,86,0,0,7,23,7,14,7,14
ecommerce-backend,com.ecommerce.entity,Product,35,49,0,0,10,16,10,8,10,8
ecommerce-backend,com.ecommerce.entity,User,48,49,0,0,14,15,14,6,14,6
ecommerce-backend,com.ecommerce.entity,DiscountConfig,48,63,2,4,11,17,10,10,8,9
ecommerce-backend,com.ecommerce.entity,Order.OrderStatus,0,27,0,0,0,2,0,1,0,1
ecommerce-backend,com.ecommerce.entity,AuditLog,80,3,0,0,25,1,17,1,17,1
ecommerce-backend,com.ecommerce.security,JwtUtils,50,3,0,0,17,1,4,1,4,1
ecommerce-backend,com.ecommerce.service,ProductService,94,85,0,2,19,14,6,6,6,5
ecommerce-backend,com.ecommerce.service,OrderService,95,326,14,18,17,64,21,9,7,7
ecommerce-backend,com.ecommerce.service,UserService,180,23,22,0,37,4,14,4,3,4
ecommerce-backend,com.ecommerce.service,DiscountService,13,47,0,8,2,10,2,6,2,2
ecommerce-backend,com.ecommerce.service,AuditService,16,3,0,0,3,1,1,1,1,1
ecommerce-backend,com.ecommerce,EcommerceApplication,5,3,0,0,2,1,1,1,1,1
ecommerce-backend,com.ecommerce.controller,ReportController,18,3,0,0,3,1,3,1,3,1
ecommerce-backend,com.ecommerce.controller,OrderController,79,3,0,0,16,1,8,1,8,1
ecommerce-backend,com.ecommerce.controller,AuthController,57,3,4,0,11,1,4,1,2,1
ecommerce-backend,com.ecommerce.controller,ProductController,60,3,0,0,11,1,8,1,8,1
ecommerce-backend,com.ecommerce.controller,UserController,30,3,0,0,6,1,4,1,4,1
ecommerce-backend,com.ecommerce.config,JpaConfig,0,3,0,0,0,1,0,1,0,1
ecommerce-backend,com.ecommerce.config,SecurityConfig,0,45,0,0,0,6,0,2,0,2
ecommerce-backend,com.ecommerce.dto,OrderRequest.OrderItemRequest,9,17,0,0,4,5,1,5,1,5
ecommerce-backend,com.ecommerce.dto,LoginRequest,26,0,0,0,9,0,6,0,6,0
ecommerce-backend,com.ecommerce.dto,ProductRequest,18,38,0,0,7,11,1,11,1,11
ecommerce-backend,com.ecommerce.dto,OrderRequest,0,10,0,0,0,3,0,3,0,3
ecommerce-backend,com.ecommerce.dto,JwtResponse,63,0,0,0,20,0,13,0,13,0
ecommerce-backend,com.ecommerce.dto,UserRequest,84,0,0,0,24,0,16,0,16,0
